ProductID,ProductionLine,Temperature,Pressure,AssemblyTime,Sensor1Reading,Sensor2Reading,Sensor3Reading,OperatorExperience,Defective
9236,LineC,67.32,87.43,54.94,,1.29,1.0,0.4,1
2927,LineC,95.02,90.32,270.4,0.95,0.78,1.01,8.9,1
122,LineB,73.32,116.61,188.27,0.9,1.12,0.62,6.0,0
3193,LineB,83.21,87.26,277.85,1.04,0.94,1.23,,0
8992,LineA,94.96,30.04,166.14,0.88,1.25,0.7,0.2,1
9226,LineA,98.64,73.59,231.84,1.01,0.97,1.22,8.9,1
5099,LineA,69.09,109.2,153.8,1.03,1.0,1.33,2.9,0
6899,LineC,68.17,114.78,203.19,1.09,1.23,1.09,2.0,0
635,LineB,78.62,43.17,166.28,0.97,0.94,0.69,,1
2499,LineC,87.51,49.98,50.93,0.45808432275243777,1.28,0.83,4.8,1
7130,LineA,69.63,,285.3,,1.09,1.26,8.7,0
1014,LineC,67.64,90.83,186.5,0.98,0.74,1.25,6.3,0
3460,LineC,68.39,52.55,234.85,1.0,1.15,0.95,8.9,0
6424,LineA,79.3,104.5,151.09,1.05,0.72,1.24,1.2,0
8832,LineA,73.74,60.0,262.01,0.86,0.95,0.84,1.3,0
175,LineA,96.83,92.8,155.74,0.87,1.15,0.73,8.5,0
3680,LineA,64.3,108.6,107.23,1.17,0.93,0.73,,0
2637,LineB,,77.05,68.27,0.97,0.6647884780441046,0.89,1.0,1
9069,LineB,79.72,109.85,241.15,0.86,1.02,1.31,7.9,0
2893,LineB,74.33,98.2,158.81,1.07,0.75,0.75,5.6,0
2088,LineB,74.87,84.2,88.03,1.0,1.28,1.12,,0
9639,LineA,77.55,,225.55,0.96,0.99,1.08,5.4,0
557,LineA,93.22,100.67,81.83,1.17,0.72,0.6023325163704495,0.8,1
8513,LineB,86.87,86.28,280.01,1.15,1.09,0.61,4.3,0
3404,LineC,85.18,116.14,251.26,1.2,0.96,0.9293130252572651,1.2,1
894,LineB,79.12,110.61,66.61,1.17,0.8,0.82,9.9,0
3195,LineC,79.31,39.49,182.32,1.15,1.16,1.04,6.0,0
7695,LineA,83.65,79.0,86.32,1.06,0.77,1.11,9.9,1
8282,LineB,60.66,81.02,140.4,0.98,1.26,1.03,5.3,0
6970,LineC,76.27,92.06,284.85,1.14,1.07,1.35,6.4,0
2131,LineC,,63.56,187.96,0.94,0.4788730562182109,0.71,0.5,1
7069,LineC,91.99,59.43,257.57,0.92,0.94,0.72,5.7,0
946,LineB,70.76,30.22,96.68,0.85,1.07,0.5679135154349954,6.7,1
4421,LineA,76.16,36.71,58.61,1.07,0.75,1.19,7.7,0
739,LineC,61.11,94.34,253.78,,1.06,1.04,7.6,0
2048,LineB,70.1,,275.14,1.1,1.25,1.21,3.6,0
5702,LineB,76.95,116.67,77.76,1.1,1.24,1.13,5.5,0
3479,LineB,67.37,92.25,295.4,1.08,1.26,1.2,4.0,0
4863,LineB,66.9,95.73,138.75,1.0,1.17,1.25,9.3,0
4673,LineB,91.83,118.88,137.06,0.94,0.6309856740757603,1.1272222806361272,1.3,1
7114,LineA,62.56,48.43,74.19,1.04,1.19,1.04,4.7,0
8272,LineB,67.38,99.2,235.6,0.81,0.88,1.24,7.6,0
6111,LineA,68.33,82.18,251.95,1.07,1.22,0.8,8.1,0
3342,LineA,85.33,55.18,164.18,1.07,1.2,0.82,,0
4223,LineC,60.55,72.58,166.29,1.15,1.05,1.08,8.6,0
9544,LineC,79.13,52.05,83.3,,0.72,1.12,1.9,1
7003,LineB,92.47,74.49,217.24,0.92,0.86,1.1616412815715813,0.1,1
3861,LineB,94.08,,109.75,0.5537283022282216,0.93,1.31,9.2,1
5604,LineB,65.44,71.91,287.51,0.98,1.07,0.8,4.3,0
8365,LineB,88.2,87.77,142.47,0.92,1.26,1.204665032740899,5.2,1
4436,LineA,79.63,93.94,187.39,0.81,0.96,1.14,6.6,0
7118,LineB,85.64,64.23,215.75,0.96,0.6478870760599323,0.71,5.6,1
735,LineA,82.04,97.79,172.45,,0.5746476674618531,1.23,9.3,1
3808,LineA,70.85,49.44,211.16,0.47318600372229835,0.6422532753985416,1.07,6.9,1
3492,LineC,64.33,108.65,99.58,0.82,0.78,1.05,3.2,0
84,LineA,84.66,69.1,186.12,0.4983554720053993,0.97,1.0,5.7,1
9710,LineA,65.59,94.38,231.45,0.83,1.02,1.35,6.6,0
3061,LineB,93.23,62.77,205.69,0.82,1.02,0.93,9.8,1
4206,LineA,64.86,61.27,173.71,1.1,1.06,1.23,3.3,0
4877,LineC,79.5,74.6,54.42,0.81,0.71,0.72,9.1,0
8019,LineA,83.4,66.17,248.27,0.86,0.99,1.23,2.3,0
5170,LineA,65.84,36.76,166.06,0.83,1.14,1.1358270308699907,1.1,1
7427,LineC,98.5,,206.73,0.81,1.09,1.27,9.2,0
8209,LineC,92.16,61.29,121.54,0.85,0.98,1.29,9.6,1
5926,LineB,66.72,84.44,260.65,1.2,1.17,1.09,3.9,0
5212,LineA,87.14,72.33,104.65,0.5537283022282216,1.02,1.12,2.2,1
1047,LineA,85.87,44.73,100.04,1.12,1.1,0.5248897642656775,2.2,1
1201,LineC,66.17,75.07,205.56,0.94,1.14,1.3,6.7,0
1987,LineB,71.13,39.26,290.42,1.03,1.23,0.74,0.4,1
5859,LineA,87.39,95.67,108.92,0.96,0.5577462654776809,0.9809415266604463,5.3,1
610,LineB,96.9,99.68,237.85,0.45808432275243777,1.1,0.7227990196445394,,1
31,LineB,81.45,103.56,232.13,0.93,1.05,1.34,2.2,1
8014,LineA,97.21,111.91,212.37,1.15,0.5295772621707273,1.17,0.9,1
390,LineA,61.27,59.21,255.44,0.81,0.94,1.17,5.3,0
9305,LineB,86.27,93.14,201.75,,1.28,1.39,9.3,1
2219,LineA,61.08,88.34,221.81,0.96,1.04,0.76,8.9,0
8118,LineB,82.08,38.94,77.01,0.5637960895414619,1.19,1.01,1.4,1
618,LineB,64.5,108.9,134.66,,1.27,0.77,3.6,0
8050,LineA,74.64,69.05,96.19,1.15,0.74,1.24,5.7,0
6240,LineC,62.68,,121.18,0.9,0.78,1.37,7.8,0
485,LineC,86.76,44.25,86.17,,1.1,0.88,7.9,1
6848,LineC,93.22,36.19,241.97,,0.4957744582023831,1.0153605275959006,0.0,1
9391,LineC,61.31,62.96,230.21,0.4329148544693368,1.0,0.66,1.9,1
3500,LineC,94.03,116.13,133.03,1.15,0.76,1.02,9.1,0
6665,LineA,68.11,95.56,137.77,1.16,1.25,0.65,6.9,0
5103,LineA,72.6,105.23,272.37,0.85,0.75,1.01,0.0,0
8572,LineB,97.38,71.98,231.92,0.97,0.82,0.9293130252572651,,1
5813,LineA,62.64,77.29,221.2,0.83,1.2,1.15,7.5,0
5402,LineC,92.18,58.05,189.72,0.99,1.16,0.6625657680074946,6.6,1
2524,LineB,99.59,74.75,210.6,0.4530504290958176,0.5746476674618531,1.06,6.1,1
3486,LineC,80.74,117.8,145.68,0.40271149252961563,0.76,0.88,3.6,1
494,LineA,62.04,30.33,205.12,0.85,0.77,0.93,7.7,0
2350,LineB,62.4,,107.43,0.89,1.27,0.69,7.6,0
2917,LineB,79.27,109.53,182.56,1.14,1.02,0.76,5.3,0
6695,LineA,66.88,,218.23,1.18,0.88,1.03,,0
453,LineC,90.49,53.45,142.24,0.4681521100656782,1.11,0.66,1.2,1
934,LineA,96.31,64.18,294.2,0.99,1.14,1.1530365313377178,7.8,1
430,LineB,85.32,55.2,236.53,0.95,0.89,0.97,4.7,0
6154,LineA,72.3,39.27,196.61,0.5335927276017407,1.11,1.11,4.8,1
220,LineC,83.39,50.87,198.65,0.96,0.4845068568796016,0.79,1.8,1
4196,LineB,79.63,34.6,282.09,1.01,0.93,1.34,8.2,0
161,LineB,89.6,118.57,74.64,,0.597182870107416,1.17,5.0,1
7555,LineB,77.08,40.14,224.88,0.4782198973789185,0.82,0.86,3.4,1
372,LineC,82.57,91.98,240.22,0.97,0.79,0.91,2.2,0
4453,LineA,99.17,,182.04,1.15,0.84,0.72,,1
1120,LineB,96.43,,89.4,,1.2,0.67,6.6,0
1108,LineA,86.3,33.34,296.2,0.99,1.29,0.88,2.9,0
9105,LineB,66.87,77.27,146.41,1.13,0.88,0.7,4.0,0
2273,LineB,66.42,43.33,232.98,0.99,0.97,0.65,7.9,0
5321,LineA,60.68,63.96,191.75,0.89,1.28,0.94,0.0,0
1417,LineA,79.07,90.48,50.7,1.08,0.83,0.8776845238540837,0.1,1
5486,LineA,98.11,47.36,170.11,1.06,0.91,1.0583842787652185,9.5,1
8079,LineA,78.32,55.25,181.91,0.92,1.15,1.02,2.2,0
753,LineC,87.03,61.76,59.81,0.45808432275243777,1.0,1.1444317811038542,9.8,1
3144,LineC,80.17,55.24,64.2,0.4480165354391974,0.45070405291125737,1.1,8.6,1
9646,LineA,94.62,63.79,298.05,0.88,0.83,1.15,0.5,1
8327,LineC,77.8,95.9,236.19,1.04,1.22,1.04,7.6,0
4657,LineC,66.33,62.84,148.83,1.04,1.26,0.5593087652011317,0.3,1
4970,LineA,67.26,47.65,246.81,0.5486944085716013,0.86,0.92,1.9,1
8031,LineB,91.24,30.87,101.17,0.92,1.0,0.78,2.5,1
4721,LineA,62.86,45.89,95.44,0.5436605149149811,1.14,0.75,1.5,1
5136,LineA,81.09,31.32,81.5,0.92,1.08,1.28,9.6,0
6710,LineB,84.21,73.91,107.96,0.86,1.14,0.73,3.1,1
4147,LineB,89.47,37.19,239.48,0.92,0.5577462654776809,0.9121035247895379,6.6,1
2534,LineC,75.43,84.66,109.09,0.9,0.93,1.31,2.6,0
8702,LineA,70.66,79.3,104.64,0.9,1.14,1.14,7.7,0
2099,LineA,82.88,68.68,56.88,0.463118216409058,0.75,1.36,7.9,1
5253,LineC,95.37,76.3,245.4,0.5386266212583609,0.91,1.4,8.7,1
5128,LineB,78.57,51.32,237.3,0.99,0.73,1.02,3.4,0
4584,LineA,97.27,100.25,119.38,1.19,0.6704222787054952,1.16,7.7,1
9339,LineA,83.48,35.39,288.67,0.5084232593186397,0.49014065754099234,1.0325700280636279,,1
6132,LineA,91.07,36.84,251.53,0.95,0.72,0.79,7.6,1
5909,LineC,78.96,34.23,249.39,1.03,0.6535208767213231,0.7400085201122666,1.8,1
4851,LineC,89.45,89.44,55.12,0.4278809608127166,0.6197180727529789,1.0583842787652185,2.9,1
2332,LineA,79.72,,164.16,0.89,0.92,1.33,8.8,0
5910,LineC,97.52,57.03,228.18,,1.12,0.75,0.7,0
7117,LineA,,39.36,251.16,0.85,1.21,1.0411747782974914,7.0,1
1221,LineA,69.02,109.45,172.79,0.85,1.0,1.37,9.9,0
3956,LineB,80.27,83.29,187.14,1.01,1.08,0.93,1.3,0
1284,LineC,90.11,82.46,204.51,0.41781317349947616,0.4056336476201316,1.13,8.3,1
4190,LineB,91.48,107.75,113.62,1.09,1.0,0.6109372666043131,1.8,1
5455,LineC,98.11,44.53,178.63,0.5788977705113224,1.01,0.7486132703461301,9.7,1
3097,LineA,83.45,70.93,289.0,0.84,1.15,1.0153605275959006,6.1,1
4431,LineA,89.16,89.61,245.25,1.12,0.416901248942913,0.67,7.2,1
5817,LineC,91.03,54.8,202.87,1.16,1.23,0.89,2.1,1
7442,LineA,72.84,60.15,70.94,0.5839316641679426,0.3943660462973501,0.76,0.3,1
1632,LineB,93.58,79.09,70.04,1.16,1.22,1.11,,0
6574,LineC,61.32,45.35,269.67,0.89,0.91,0.81,8.7,0
8626,LineA,97.59,95.97,97.82,0.96,1.0,1.27,6.3,0
5398,LineA,85.22,81.67,219.91,0.43794874812595697,1.05,0.7400085201122666,4.8,1
6986,LineA,82.44,71.0,53.36,,0.6929574813510582,1.35,3.2,1
1604,LineB,79.57,101.92,252.67,0.95,1.1,0.8,3.6,0
7869,LineC,61.03,35.25,274.12,,0.93,0.68,9.7,1
1935,LineA,67.53,86.7,216.02,0.97,0.72,0.66,4.0,0
4130,LineC,92.89,92.91,88.18,1.11,1.05,1.1358270308699907,2.0,1
2041,LineB,96.71,108.53,134.7,0.87,0.71,0.7,8.2,0
1016,LineA,75.28,94.68,221.07,1.07,1.17,1.37,2.2,0
7245,LineA,73.73,91.84,71.76,0.82,1.01,0.75,8.0,0
1978,LineB,98.77,41.54,136.39,1.01,0.86,0.6109372666043131,8.1,1
3657,LineC,86.66,75.64,113.44,,0.78,0.69,8.6,1
4688,LineA,71.05,63.99,263.18,1.18,0.91,0.9,6.1,0
7242,LineA,72.01,85.28,213.65,0.84,0.94,0.62,3.7,0
7209,LineA,65.49,65.51,293.2,0.86,1.03,0.61,2.6,0
3448,LineC,69.34,89.91,100.51,1.13,0.86,1.27,4.0,0
527,LineC,60.99,78.93,189.88,1.18,0.89,1.18,3.2,0
514,LineA,87.72,39.46,195.64,0.51345715297526,0.82,1.11,4.9,1
7506,LineC,67.51,81.55,285.24,0.83,0.72,1.19,2.2,0
9614,LineC,71.33,66.54,115.31,0.86,1.06,1.36,9.5,0
4699,LineC,64.52,73.6,261.25,0.97,1.27,1.39,8.2,0
4702,LineC,83.13,85.53,241.27,0.5889655578245628,0.88,1.15,2.2,1
473,LineA,,116.0,290.86,,1.05,0.61,8.2,0
9935,LineA,96.71,86.65,219.71,1.14,0.75,1.27,4.5,0
6599,LineA,81.37,58.99,57.97,1.15,0.91,0.593727766136586,9.5,1
5074,LineA,84.81,117.99,235.77,0.8,0.83,0.71,4.9,0
4936,LineA,61.64,78.66,179.38,0.82,0.91,1.3,3.9,0
7093,LineC,71.87,62.77,294.46,0.82,0.87,0.65,0.8,0
1439,LineB,76.85,48.72,208.14,0.568829983198082,0.85,0.93,1.9,1
3188,LineB,68.7,116.25,52.5,1.1,1.16,1.1960602825070354,1.7,1
9629,LineB,95.33,69.06,163.71,0.593999451481183,0.45633785357264806,0.83,5.6,1
4574,LineB,74.99,105.77,234.88,0.87,0.9,1.06,5.8,0
7629,LineB,91.48,101.1,148.19,1.01,0.72,1.07,9.4,0
5705,LineB,87.24,81.66,173.4,0.89,1.0,0.69,7.4,0
592,LineC,79.61,110.95,249.91,0.92,0.94,1.33,6.5,0
8816,LineA,,96.66,120.02,0.87,1.01,1.19,8.2,0
5607,LineC,72.07,92.09,124.93,1.11,1.12,0.64,8.7,0
8188,LineA,99.88,56.46,275.87,0.4278809608127166,0.94,0.85,,1
82,LineC,89.7,118.34,262.19,1.0,0.5859152687846345,0.98,0.7,1
9426,LineA,97.78,41.96,89.7,0.82,1.29,1.08,9.1,1
803,LineA,67.66,32.17,221.93,0.99,1.28,0.95,4.2,1
254,LineA,92.87,73.64,83.32,1.14,0.715492683996621,0.79,0.6,1
8709,LineA,95.15,52.39,268.3,0.87,1.01,0.64,7.8,0
2327,LineA,98.27,110.97,164.68,0.91,1.0,1.38,9.4,0
3998,LineB,97.21,102.3,213.03,1.14,0.76,0.9723367764265828,5.4,1
6602,LineB,77.14,72.61,60.88,1.15,0.72,1.31,7.6,0
9297,LineB,68.79,82.69,158.09,0.88,1.23,1.29,8.4,0
9148,LineB,73.54,38.3,188.05,0.41781317349947616,1.1,0.8260560224509023,,1
5860,LineB,85.62,103.48,115.6,0.5486944085716013,1.06,0.731403769878403,6.0,1
5393,LineA,66.63,115.73,168.68,1.12,0.87,1.07,7.2,0
5370,LineC,81.18,42.12,193.23,0.593999451481183,0.4788730562182109,0.83,3.1,1
7155,LineA,93.59,80.6,207.24,1.13,0.94,1.12,7.4,0
4278,LineC,61.21,89.06,58.19,1.06,0.45633785357264806,0.791637021515448,,1
8113,LineC,89.13,95.71,55.39,0.97,0.76,1.17,9.2,1
7257,LineC,67.55,40.53,122.32,1.03,0.97,1.26,9.7,0
719,LineA,,72.97,79.28,1.14,0.72,1.28,8.2,0
7971,LineA,87.44,89.2,235.17,1.16,1.18,0.5507040149672682,9.1,1
9630,LineC,63.86,117.09,252.59,0.86,0.86,1.09,9.3,0
9702,LineB,67.16,30.53,267.07,1.04,1.08,0.75,7.9,1
8938,LineB,80.42,71.28,170.63,0.94,1.07,0.7055895191768123,2.0,1
8574,LineB,73.43,96.78,151.59,1.01,0.77,0.95,9.4,0
6128,LineA,88.7,47.95,53.43,1.14,1.08,1.04,5.7,0
5364,LineA,65.45,47.83,143.21,1.14,0.85,0.85,1.6,1
4427,LineB,64.55,97.22,65.68,0.93,1.04,1.2,8.3,0
7714,LineA,88.37,113.09,164.88,0.86,1.02,1.0325700280636279,7.3,1
1955,LineA,93.99,100.19,173.16,0.92,0.8,0.89,4.4,0
4785,LineA,91.31,39.59,95.86,1.16,1.13,1.09,6.9,0
9531,LineA,,116.62,257.53,,1.19,0.64,4.8,0
7570,LineC,74.83,80.34,268.89,,0.87,0.77,5.6,0
1831,LineA,,38.76,245.23,1.1,0.95,1.38,7.9,0
8470,LineB,64.49,115.7,94.84,1.16,1.24,1.0,6.3,0
149,LineA,93.62,81.46,101.43,1.01,0.88,1.37,0.7,0
3612,LineA,69.51,58.96,168.81,0.91,0.99,1.25,3.1,0
3288,LineB,68.25,56.73,128.89,0.81,1.21,0.97,4.5,0
5284,LineA,,110.01,135.53,1.12,0.87,0.81,,0
6888,LineC,66.07,89.9,262.93,0.92,1.26,1.11,5.9,0
5850,LineB,72.04,,174.48,1.08,0.82,1.07,8.7,0
1913,LineA,91.22,63.06,67.34,0.9,0.5239434615093367,0.8174512722170386,1.3,1
5266,LineA,73.98,98.84,187.14,1.18,0.5464786641548995,1.1,1.4,1
7244,LineA,92.86,91.85,79.73,1.14,1.24,0.66,2.1,0
45,LineB,75.66,92.5,57.85,1.01,0.75,0.64,0.9,0
1465,LineC,,53.21,125.76,1.1,1.22,0.6539610177736309,2.5,1
8141,LineA,69.83,105.95,175.16,0.40774538618623585,0.78,0.6453562675397674,1.0,1
3266,LineB,74.59,119.93,244.83,0.49332157834877916,1.24,0.791637021515448,0.4,1
1562,LineA,93.6,110.85,114.35,1.05,0.4394364515884759,0.5593087652011317,9.1,1
2017,LineB,66.93,51.06,220.61,1.12,1.03,1.08,8.4,0
5049,LineC,79.9,89.52,75.73,0.95,1.23,0.95,7.9,0
7974,LineB,79.66,58.51,58.63,0.9,1.21,1.1,3.3,0
7587,LineC,84.06,30.19,149.29,1.01,0.5746476674618531,1.38,8.2,1
375,LineC,78.6,105.98,237.3,0.94,0.89,1.04,0.0,0
3039,LineB,94.54,78.85,172.72,0.91,0.94,0.64,6.3,1
8071,LineA,92.96,94.15,85.98,1.1,1.23,0.85,2.9,0
6873,LineA,86.12,76.32,219.03,1.2,1.22,0.97,9.9,1
6348,LineB,66.7,43.83,215.25,0.82,1.08,0.77,0.6,1
4766,LineB,73.67,103.27,238.86,0.82,1.29,1.19,5.3,0
8789,LineA,75.93,62.94,182.33,0.97,1.06,0.7,5.3,0
1036,LineC,61.7,95.96,298.32,0.98,0.74,1.31,5.8,0
7802,LineA,65.02,109.07,119.44,1.2,0.82,0.88,3.4,0
678,LineC,93.04,109.37,299.48,1.08,0.81,1.04,9.2,1
740,LineB,77.22,82.57,126.69,0.88,0.71,1.01,7.6,0
5741,LineC,81.52,39.58,65.03,0.9,0.72,0.83,8.3,0
3780,LineC,74.15,,62.35,0.87,0.74,1.08,5.0,1
8133,LineC,68.07,107.93,79.61,0.96,0.96,0.66,1.4,0
6624,LineC,95.29,93.56,188.3,1.01,1.28,0.69,7.8,1
4014,LineA,65.86,57.54,268.84,1.17,1.08,1.03,6.1,0
6277,LineB,70.33,,144.16,0.98,0.93,1.09,,0
6561,LineC,94.31,89.28,231.83,0.412779279842856,0.4112674482815223,1.4,4.1,1
6097,LineC,73.85,111.78,214.59,0.463118216409058,0.85,1.1960602825070354,1.8,1
7573,LineA,84.25,38.72,220.28,0.4530504290958176,0.416901248942913,0.9637320261927194,7.6,1
7738,LineA,92.36,89.13,228.22,0.4983554720053993,1.19,1.09,0.8,1
9489,LineB,69.24,95.3,152.72,1.19,0.76,0.72,3.8,0
3696,LineB,80.42,32.67,214.27,0.47318600372229835,1.05,1.31,,1
7955,LineA,86.36,116.22,286.27,1.19,1.01,1.36,3.6,1
4875,LineA,63.72,106.79,96.17,0.99,1.27,0.74,6.6,0
5497,LineA,70.08,93.69,102.39,0.8,0.89,0.84,1.9,0
142,LineB,89.87,54.82,93.22,0.5990333451378033,0.99,0.7744275210477208,8.0,1
1786,LineB,79.19,59.51,211.29,1.08,1.16,1.23,6.7,0
7161,LineA,64.69,35.11,226.68,0.82,0.88,1.01,8.2,0
5979,LineA,,115.23,158.63,1.08,0.7267602853194025,1.19,1.0,1
5012,LineA,79.8,97.39,99.24,0.8,1.14,0.66,4.0,0
3535,LineB,89.96,94.95,125.63,0.99,0.73,0.5765182656688589,2.7,1
